index,year,brand,superbowl_ads_dot_com_url,youtube_url,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,likes,dislikes,ratio,theme,,,,
0,2018,Toyota,https://superbowl-ads.com/good-odds-toyota/,https://www.youtube.com/watch?v=zeBZvwYQ-hA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1400,43,97.02%,EMOTIONAL / PARALYMPICS,,,,
1,2020,Bud Light,https://superbowl-ads.com/2020-bud-light-seltzer-inside-posts-brain/,https://www.youtube.com/watch?v=nbbp0VW7z8w,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1200,26,97.88%,"SHOPPING FOR BUDLIGHT AND SELTZER IS SO GOOD, YOU'LL WANT BOTH",,,,
2,2006,Bud Light,https://superbowl-ads.com/2006-bud-light-bear-attack/,https://www.youtube.com/watch?v=yk0MQD5YgV8,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,131,16,89.12%,ABANDING FRIENDS FOR BEER,,,,
3,2018,Hynudai,https://superbowl-ads.com/hope-detector-nfl-super-bowl-lii-hyundai/,https://www.youtube.com/watch?v=lNPccrGk77A,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,100.00%,HELPING BY BUYING A HYUNDAI,,,,
4,2003,Bud Light,https://superbowl-ads.com/2003-bud-light-hermit-crab/,https://www.youtube.com/watch?v=ovQYgnXHooY,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,20,0,100.00%,GETTING GIRLS WITH BUD LIGHT,,,,
5,2020,Toyota,https://superbowl-ads.com/2020-toyota-go-places-with-cobie-smulders/,https://www.youtube.com/watch?v=f34Ji70u3nk,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,155,13,92.26%,CAR HAS MORE ROOM,,,,
6,2020,Coca-Cola,https://superbowl-ads.com/2020-coca-cola-energy-show-up/,https://www.youtube.com/watch?v=-gAZRN3SCBw,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1400,387,78.34%,ENERGY LETS YOU PARTY,,,,
7,2020,Kia,https://superbowl-ads.com/2020-kia-tough-never-quits/,https://www.youtube.com/watch?v=lMs79UXam9A,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NaN,NaN,NaN,KIA IS AS TOUGH AS A HOMELESS FOOTBALL STAR,,,,
8,2020,Hynudai,https://superbowl-ads.com/2020-hyundai-smaht-pahk/,https://www.youtube.com/watch?v=WBvkmWDjsYc,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,4000,54,98.67%,HELPS YOU PARK IN NJ BUSY BUSY,,,,
9,2020,Budweiser,https://superbowl-ads.com/2020-budweiser-typical-american/,https://www.youtube.com/watch?v=J0xugdotpp8,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,21,2,91.30%,BUD LIGHT HELPS US BE AMERICANS BY CELBRATING,,,,
10,2010,Hynudai,https://superbowl-ads.com/hd-2010-super-bowl-commercial-new-hyundai-super-bowl-44-xliv-ad-hyundai-body-pass-2011-sonata/,https://www.youtube.com/watch?v=dWQqIeAYfK8,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,52,15,77.61%,EVERYONE INVLOLVED BY CARRYING HYUNDAI TO THE LINE,,,,
11,2010,Bud Light,https://superbowl-ads.com/hd-exclusive-bud-light-scientist-2010-superbowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=agISXMN4tng,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,10,0,100.00%,LAST DRINK ON EARTH WE DRINK BUD LIGHT,,,,
12,2007,Budweiser,https://superbowl-ads.com/2007-budweiser-king-crab/,https://www.youtube.com/watch?v=7KHlMJE84eA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,139,25,84.76%,CRABS DRINK TO KING BUD COOLER,,,,
13,2002,Budweiser,https://superbowl-ads.com/2002-budweiser-ground-zero-clydesdales-bow/,https://www.youtube.com/watch?v=1MZUvib98Rs,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1000,18,98.23%,BUD GETS RIDDEN BY HORSES? NOT CLEAR,,,,
14,2020,NFL,https://superbowl-ads.com/2020-nfl-next-100/,https://www.youtube.com/watch?v=lbkafMhmvMo,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NaN,NaN,NaN,NFL HERES TO THE NEXT 100,,,,
15,2017,NFL,https://superbowl-ads.com/2017-nfl-super-bowl-51-li-tv-commercial-super-bowl-baby-legends/,https://www.youtube.com/watch?v=9csH_Hy-7A4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NaN,NaN,NaN,NFL IS FAMILY,,,,
16,2005,Bud Light,https://superbowl-ads.com/2005-bud-light-parrot/,https://www.youtube.com/watch?v=-gTWA5AsTP8,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,30,0,100.00%,BUD IS REAL LIKE A REAL FRIEND,,,,
17,2009,Pepsi,https://superbowl-ads.com/2009-pepsi-max-im-good/,https://www.youtube.com/watch?v=qUZaSf7T7ig,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,391,13,96.78%,PEPSI MAKES YOU ALL GOOD // FOR MEN,,,,
18,2004,Bud Light,https://superbowl-ads.com/2004-bud-light-frank/,https://www.youtube.com/watch?v=mjN3OY9Eefk,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,125,2,98.43%,BUD MONKEY IS HITTING ON GIRL SMOOTH,,,,
19,2020,Doritos,https://superbowl-ads.com/2020-doritos-the-cool-ranch-with-lil-nas-x-and-sam-elliott/,https://www.youtube.com/watch?v=6xVnq31Vk8Y,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,12000,662,94.77%,LIL NAS SUPERBOWL DANCE OFF OVER DORITOS,,,,
20,2007,Bud Light,https://superbowl-ads.com/2007-bud-light-slap/,https://www.youtube.com/watch?v=aOfRpCp6Pgw,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,109,38,74.15%,BUD ALWAYS WORTH IT,,,,
21,2020,Pepsi,https://superbowl-ads.com/2020-pepsi-zero-sugar-done-right/,https://www.youtube.com/watch?v=Ozb_fJB_z6o,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,164,40,80.39%,PEPSI ZERO DONE RIGHT WITH MUSIC,,,,
22,2019,Hynudai,https://superbowl-ads.com/2019-hyundai-shopper-assurance-the-elevator-with-jason-bateman/,https://www.youtube.com/watch?v=6mfJ0EsqLWs,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,397,28,93.41%,HYUNDAI GIVES YOU ASSURANCE ON SHOPPING,,,,
23,2009,Budweiser,https://superbowl-ads.com/2009-budweiser-clydesdales-generations/,https://www.youtube.com/watch?v=ukpnHh4eEeQ,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,544,16,97.14%,BUD HORSE LOVES AMERICA AND IS A BUD HORSE,,,,
24,2011,Kia,https://superbowl-ads.com/2011-kia-optima-one-epic-ride-super-bowl-xlv-commercial/,https://www.youtube.com/watch?v=8FMU5yPZgwM,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,212,8,96.36%,KIS GIVES THE THRILL OF A MOVIE RIDE,,,,
25,2019,Doritos,https://superbowl-ads.com/2019-doritos-now-its-hot-with-chance-the-rapper-and-backstreet-boys/,https://www.youtube.com/watch?v=NvIcPAxZ39o,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1300,28,97.89%,DORITOS WANT IT THT WY LIKE CHANCE W/ BACKSTREET BOYS,,,,
26,2019,Pepsi,https://superbowl-ads.com/2019-pepsi-more-than-ok/,https://www.youtube.com/watch?v=64UH1_D95gQ,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,1300,76,94.48%,IS PEPSI OKAY? MORE THAN OKAY,,,,
27,2013,Hynudai,https://superbowl-ads.com/video-2013-hyundai-sonata-turbo-super-bowl-xlvii-stuck/,https://www.youtube.com/watch?v=WTf0XGpINJI,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,22,0,100.00%,HYUNDAI LETS YOU TURBO TO PASS SLOW CARS,,,,
28,2019,NFL,https://superbowl-ads.com/2019-nfl-nfl100/,https://www.youtube.com/watch?v=sl8ooTIMk2w,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,761,17,97.81%,NFL IS A LIFESTYLE THAT LASTS UNTIL YOU'RE OLD,,,,
29,2011,Coca-Cola,https://superbowl-ads.com/2011-coca-cola-border/,https://www.youtube.com/watch?v=Aw6-aXMBseo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,282,9,96.91%,COCA COLA SURPASSES BORDERS,,,,
30,2019,Pepsi,https://superbowl-ads.com/2019-pepsi-bubly-buble/,https://www.youtube.com/watch?v=I-_Uh-vZXgo,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1800,28,98.47%,MICHAEL BUBLY BUBLE,,,,
31,2016,Hynudai,https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-chase/,https://www.youtube.com/watch?v=r_kXSO9Cph0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,44,4,91.67%,REMOTE START LETS YOU ESCAPE FROM BEARS,,,,
32,2010,Bud Light,https://superbowl-ads.com/hd-exclusive-stranded-budweiser-2010-super-bowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=zE7wyUmsM0k,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,127,5,96.21%,BUDLIGHT IS IMPORTANT THAN A RADIO TO HELP ISLAND,,,,
33,2000,E-Trade,https://superbowl-ads.com/2000-etrade-monkey-dance/,https://www.youtube.com/watch?v=Muyq2kMDFoA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,183,3,98.39%,"ETRADE SPENT 2 MILLION ON COMMERCIAL, WHAT WE DO W/ $",,,,
34,2001,Bud Light,https://superbowl-ads.com/2001-bud-light-otto/,https://www.youtube.com/watch?v=XJEYIR-Cai4,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,11,0,100.00%,BUD DOGGY ATE ALL FOOD BECAUSE BUD LIGHT,,,,
35,2018,Doritos,https://superbowl-ads.com/2018-doritos-blaze-vs-mtn-dew-ice/,https://www.youtube.com/watch?v=rZh_CbcVe7M,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,727,12,98.38%,DORITOS V MTNDEW HOT V COLD,,,,
36,2001,Budweiser,https://superbowl-ads.com/2001-budweiser-what-are-you-doing/,https://www.youtube.com/watch?v=gtmJEt0w1k4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,242,5,97.98%,BUD WHAT YOU DOING????,,,,
37,2018,Coca-Cola,https://superbowl-ads.com/life-is-short-have-a-diet-coke-because-i-can-diet-coke/,https://www.youtube.com/watch?v=be5DH6jQs38,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,0,100.00%,"DIET COKE, HAVE IT, JUST BECAUSE",,,,
38,2013,Hynudai,https://superbowl-ads.com/video-hyundai-2013-super-bowl-xlvii-ad-epic-playdate/,https://www.youtube.com/watch?v=YyKVvAZSAug,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,7,0,100.00%,HYUNDAI TAKES US ON EPIC PLAYDATE,,,,
39,2004,Pepsi,https://superbowl-ads.com/2004-pepsi-bears-find-food/,https://www.youtube.com/watch?v=GzWUUZRli6s,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,339,13,96.31%,BEARS PUT ON DISGUISES JUST TO GET PEPSI,,,,
40,2018,Kia,https://superbowl-ads.com/2018-kia-stinger-steven-tyler-big-game-ad-feel-something-again/,https://www.youtube.com/watch?v=9_dE6Z2HK8I,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,441,12,97.35%,KIA LETS US DREAM ON!!!!,,,,
41,2018,Pepsi,https://superbowl-ads.com/2018_pepsi_this_is_the_pepsi/,https://www.youtube.com/watch?v=0gHYd67OumQ,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3400,203,94.37%,PEPSI IS THE STAPLE OF OUR POP CULTURE FOREVER,,,,
42,2018,NFL,https://superbowl-ads.com/touchdown-celebrations-to-come-nfl-super-bowl-lii-commercial/,https://www.youtube.com/watch?v=KUoD-gPDahw,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NaN,NaN,NaN,NFL CELEBRATIONS GIVE US THE TIME OF OUR LIFE,,,,
43,2010,E-Trade,https://superbowl-ads.com/hd-exclusive-e-trade-baby-tears-2010-superbowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=LgiYL1Ry2I8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,23,0,100.00%,TALKING BABIES GIVE US ADVICE ON ETRADE,,,,
44,2017,NFL,https://superbowl-ads.com/2017-nfl-super-bowl-51-li-tv-commercial-inside-lines/,https://www.youtube.com/watch?v=pvKBdrx4quA,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2200,328,87.03%,INSIDE THE FOOTBALL FIELD/AMERICA WE BRING OUT THE BEST,,,,
45,2000,E-Trade,https://superbowl-ads.com/2000-etrade-money-out-of-the-wazoo/,https://www.youtube.com/watch?v=oftjwYmlfoA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,176,7,96.17%,"ETRADE MAKES US SO MUCH MONEY, IT COMES OUT THE WAZOO",,,,
46,2007,E-Trade,https://superbowl-ads.com/2007-etrade-one-finger/,https://www.youtube.com/watch?v=jaR5-kefxn4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,101,23,81.45%,ETRADE GIVES US THE POWER TO POINT A FINGER AT BROKERS,,,,
47,2000,Budweiser,https://superbowl-ads.com/2000-budweiser-whaasup-game/,https://www.youtube.com/watch?v=loimTUjV92Q,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12,2,85.71%,BUD WAZZUP / PEER PRESSURE TO DRINK,,,,
48,2013,Doritos,https://superbowl-ads.com/video-doritos-2013-super-bowl-xlvii-commercial-goat-for-sale/,https://www.youtube.com/watch?v=DoM6IhfY8No,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3200,117,96.47%,GOAT EATS ALL DORITOS AND CORNERS MAN WHO STOPS HIM,,,,
49,2013,Budweiser,https://superbowl-ads.com/video-budweiser-black-crown-2013-super-bowl-xlvii-ad-coronation/,https://www.youtube.com/watch?v=AMP9fgyi41M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,5,3,62.50%,BUD BLACK CROWN IS CLASSY AND DISTINCTIVE,,,,
50,2007,Doritos,https://superbowl-ads.com/2007-doritos-live-the-favor/,https://www.youtube.com/watch?v=kNxgxF-7SfA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2500,862,74.36%,DORITOS WILL HELP US FIND A PARTNER,,,,
51,2009,Budweiser,https://superbowl-ads.com/2009-budweiser-clydesdale-plays-fetch/,https://www.youtube.com/watch?v=w_ZEGUX4YnI,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,72,3,96.00%,BUD HORSE WANTS TO BE PUPPY TO DRINK BEER,,,,
52,2012,E-Trade,https://superbowl-ads.com/2012-etrade-fatherhood/,https://www.youtube.com/watch?v=fObt1E6Ij_E,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,100.00%,ETRADE HELPS US TRADE BETTER,,,,
53,2019,Bud Light,https://superbowl-ads.com/2019-bud-light-medieval-barbers/,https://www.youtube.com/watch?v=hkSQ2Vr41bM,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,71,119,37.37%,EVEN MEDIEVAL BARBERS DRANK BUD LIGHT,,,,
54,2017,Kia,https://superbowl-ads.com/2017-kia-super-bowl-51-li-tv-commercial-heros-journey-starring-melissa-mccarthy/,https://www.youtube.com/watch?v=pVxmT2x3Od4,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,NaN,NaN,NaN,KIA HELPS US SAVE THE WORLD AND BE A WARRIOR,,,,
55,2007,Bud Light,https://superbowl-ads.com/2007-bud-light-but-he-has-bud-light/,https://www.youtube.com/watch?v=qIC90Vnc-OI,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,460,14,97.05%,PICK UP HITCHHIKERS IF THEY HAVE BUD LIGHT,,,,
56,2011,Bud Light,https://superbowl-ads.com/2011-bud-light-dog-sitter/,https://www.youtube.com/watch?v=JJn1vM7LB1Y,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3,2,60.00%,DOG SITTER USES BUDLIGHT TO THROW PARTY WITH DOGS,,,,
57,2016,Pepsi,https://superbowl-ads.com/pepsi-2016-super-bowl-50-ad-joy-pepsi/,https://www.youtube.com/watch?v=B9j4Cw5dkBs,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NaN,NaN,NaN,PEPSI SPANS ALL GENERATIONS OF POP CULTURE,,,,
58,2009,Hynudai,https://superbowl-ads.com/2009-hyundai-angry-bosses/,https://www.youtube.com/watch?v=puG0WOgAUfs,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,588,9,98.49%,HYUNDAI IS MAKING ALL CAR BOSSES UPSET DUE TO AN AWARD,,,,
59,2011,Coca-Cola,https://superbowl-ads.com/2011-coca-cola-siege/,https://www.youtube.com/watch?v=nAJvHsVoLq0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,65,3,95.59%,COLA WILL STOP A GRAGONS BREATH AND THWART INVASION,,,,
60,2016,Hynudai,https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-ryanville/,https://www.youtube.com/watch?v=wBcijELzZi4,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,150,6,96.15%,ELANTRA BRAKES FOR US WHEN WE'RE DISTRACTED STARING,,,,
61,2009,Doritos,https://superbowl-ads.com/2009-doritos-new-flavor-pitch/,https://www.youtube.com/watch?v=qKKpRhFcKBk,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,123,10,92.48%,DORITOS KNOWS HOW TO MAKE THE BEST FLAVORS,,,,
62,2010,Doritos,https://superbowl-ads.com/hd-exclusive-doritos-samurai-2010-super-bowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=1ww1k7w4WQ8,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1300,33,97.52%,DORITOS NINJA IS HUNTING ALL DORITOS TO EAT,,,,
63,2015,Doritos,https://superbowl-ads.com/2015-doritos-middle-seat/,https://www.youtube.com/watch?v=2JqRXLQYF9o,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3200,240,93.02%,DORITOS WILL GET OUR IDEAL PASSENGER ON A PLANE,,,,
64,2007,Coca-Cola,https://superbowl-ads.com/2007-coca-cola-video-game/,https://www.youtube.com/watch?v=3Tnm53uXIvg,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,456,50,90.12%,COCA COLA DRINKER IS THE SAVIOUR OF THE CITY,,,,
65,2019,Toyota,https://superbowl-ads.com/2019-toyota-supra-wizard/,https://www.youtube.com/watch?v=ZuBbnZ3UbJw,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NaN,NaN,NaN,TOYOTA SUPRA CAN NAVIGATE A PINBALL OBSTACLE COURSE,,,,
66,2002,Budweiser,https://superbowl-ads.com/2002-budweiser-how-ya-doin/,https://www.youtube.com/watch?v=mhEYXcCB1Qw,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,423,9,97.92%,BUD GETS PEOPLE TALKING AND TO THE BAR,,,,
67,2014,Coca-Cola,https://superbowl-ads.com/2014-coca-going-all-the-way/,https://www.youtube.com/watch?v=nO-8ZY7p95o,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17,5,77.27%,COKE HELPS SEND US ALL THE WAY,,,,
68,2004,Budweiser,https://superbowl-ads.com/2004-budweiser-referee/,https://www.youtube.com/watch?v=uO-E2T1hayU,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NaN,NaN,NaN,BUD HELPS US GET THROUGH LIFE'S STRUGGLES,,,,
69,2016,Coca-Cola,https://superbowl-ads.com/coca-cola-mini-2016-super-bowl-50-ad-hulk-vs-ant-man/,https://www.youtube.com/watch?v=sMkGwCw7iv8,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,260000,8100,96.98%,COKE HAS SUPERHEROES FIGHTING EACH OTHER TO DRINK IT,,,,
70,2015,Budweiser,https://superbowl-ads.com/2015-budweiser-clydesdale-beer-run/,https://www.youtube.com/watch?v=5tso0er4EUI,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,23,4,85.19%,BUD HORSE FORCES US TO BUY BUD BECAUSE ITS GOOD FOR US,,,,
71,2016,Hynudai,https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-first-date/,https://www.youtube.com/watch?v=KwUUdl22mkA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3000,51,98.33%,HYUNDAI HAS CAR TRACKING TO FOLLOW THE CAR AND FIND IT,,,,
72,2001,Bud Light,https://superbowl-ads.com/2001-bud-light-pencil-pusher/,https://www.youtube.com/watch?v=J89vbNUzhIE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,389,12,97.01%,BUD LIGHT IS MORE ATTRACTIVE TO WORKER THAN SEX,,,,
73,2003,Bud Light,https://superbowl-ads.com/2003-bud-light-strongman/,https://www.youtube.com/watch?v=_cEQ5g6bzdM,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,55,3,94.83%,"BUD LIGHT IS SO ATTRACTIVE, THE OLD AND WEAK CAN FIGHT TO GET IT",,,,
74,2000,Bud Light,https://superbowl-ads.com/2000-bud-light-hold-the-door/,https://www.youtube.com/watch?v=M3IV93HwSkc,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,8,0,100.00%,PEOPLE WOULD RATHER STEAL BUD THAN HELP SOMEONE IN ELEVATOR,,,,
