index,year,brand,superbowl_ads_dot_com_url,youtube_url,Genre,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,likes,dislikes,ratio,theme,theme_2,altruistic/consumerist
0,2018,Toyota,https://superbowl-ads.com/good-odds-toyota/,https://www.youtube.com/watch?v=zeBZvwYQ-hA,Automotive,no,no,no,no,no,no,no,1400,43,0.97,inspirational,,altruistic
1,2020,Bud Light,https://superbowl-ads.com/2020-bud-light-seltzer-inside-posts-brain/,https://www.youtube.com/watch?v=nbbp0VW7z8w,Beer,yes,yes,no,yes,yes,no,no,1200,26,0.98,shopping,,consumerist
2,2006,Bud Light,https://superbowl-ads.com/2006-bud-light-bear-attack/,https://www.youtube.com/watch?v=yk0MQD5YgV8,Beer,yes,no,no,no,yes,yes,no,131,16,0.89,,,consumerist
3,2018,Hynudai,https://superbowl-ads.com/hope-detector-nfl-super-bowl-lii-hyundai/,https://www.youtube.com/watch?v=lNPccrGk77A,Automotive,no,yes,no,no,no,no,no,2,0,1,inspirational,,awareness
4,2003,Bud Light,https://superbowl-ads.com/2003-bud-light-hermit-crab/,,Beer,yes,yes,no,no,yes,yes,yes,20,0,1,,,consumerist
5,2020,Toyota,https://superbowl-ads.com/2020-toyota-go-places-with-cobie-smulders/,https://www.youtube.com/watch?v=f34Ji70u3nk,Automotive,yes,yes,no,yes,yes,yes,no,155,13,0.92,informative,,consumerist
6,2020,Coca-Cola,https://superbowl-ads.com/2020-coca-cola-energy-show-up/,https://www.youtube.com/watch?v=-gAZRN3SCBw,Soft Drink,yes,no,no,yes,no,yes,yes,1400,387,0.78,informative,,consumerist
7,2020,Kia,https://superbowl-ads.com/2020-kia-tough-never-quits/,https://www.youtube.com/watch?v=lMs79UXam9A,Automotive,no,no,no,yes,no,no,no,,,,inspirational,NFL,consumerist
8,2020,Hynudai,https://superbowl-ads.com/2020-hyundai-smaht-pahk/,https://www.youtube.com/watch?v=WBvkmWDjsYc,Automotive,yes,yes,no,yes,no,yes,no,4000,54,0.99,informative,,consumerist
9,2020,Budweiser,https://superbowl-ads.com/2020-budweiser-typical-american/,https://www.youtube.com/watch?v=J0xugdotpp8,Beer,no,yes,yes,yes,yes,no,no,21,2,0.91,together,,consumerist
10,2010,Hynudai,https://superbowl-ads.com/hd-2010-super-bowl-commercial-new-hyundai-super-bowl-44-xliv-ad-hyundai-body-pass-2011-sonata/,https://www.youtube.com/watch?v=dWQqIeAYfK8,Automotive,no,yes,yes,no,no,no,no,52,15,0.78,nostalgia,together,consumerist
11,2010,Bud Light,https://superbowl-ads.com/hd-exclusive-bud-light-scientist-2010-superbowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=agISXMN4tng,Beer,yes,no,no,no,yes,no,yes,10,0,1,together,,consumerist
12,2007,Budweiser,https://superbowl-ads.com/2007-budweiser-king-crab/,https://www.youtube.com/watch?v=7KHlMJE84eA,Beer,yes,yes,no,no,no,yes,yes,139,25,0.85,,,consumerist
13,2002,Budweiser,https://superbowl-ads.com/2002-budweiser-ground-zero-clydesdales-bow/,https://www.youtube.com/watch?v=1MZUvib98Rs,Beer,no,yes,yes,no,no,yes,no,1000,18,0.98,,,consumerist
14,2020,NFL,https://superbowl-ads.com/2020-nfl-next-100/,https://www.youtube.com/watch?v=lbkafMhmvMo,Football,no,no,yes,yes,no,no,no,,,,nostalgia,together,consumerist
15,2017,NFL,https://superbowl-ads.com/2017-nfl-super-bowl-51-li-tv-commercial-super-bowl-baby-legends/,https://www.youtube.com/watch?v=9csH_Hy-7A4,Football,no,yes,no,no,no,no,no,,,,nostalgia,together,consumerist
16,2005,Bud Light,https://superbowl-ads.com/2005-bud-light-parrot/,https://www.youtube.com/watch?v=-gTWA5AsTP8,Beer,yes,yes,no,no,yes,yes,yes,30,0,1,,,consumerist
17,2009,Pepsi,https://superbowl-ads.com/2009-pepsi-max-im-good/,https://www.youtube.com/watch?v=qUZaSf7T7ig,Soft Drink,yes,no,no,no,yes,no,yes,391,13,0.97,,,consumerist
18,2004,Bud Light,https://superbowl-ads.com/2004-bud-light-frank/,https://www.youtube.com/watch?v=mjN3OY9Eefk,Beer,yes,yes,no,no,no,yes,yes,125,2,0.98,,,consumerist
19,2020,Doritos,https://superbowl-ads.com/2020-doritos-the-cool-ranch-with-lil-nas-x-and-sam-elliott/,https://www.youtube.com/watch?v=6xVnq31Vk8Y,Chips,yes,yes,no,yes,yes,yes,no,12000,662,0.95,,,consumerist
20,2007,Bud Light,https://superbowl-ads.com/2007-bud-light-slap/,https://www.youtube.com/watch?v=aOfRpCp6Pgw,Beer,yes,yes,no,no,yes,no,no,109,38,0.74,,,consumerist
21,2020,Pepsi,https://superbowl-ads.com/2020-pepsi-zero-sugar-done-right/,https://www.youtube.com/watch?v=Ozb_fJB_z6o,Soft Drink,no,yes,no,yes,no,no,no,164,40,0.8,together,,consumerist
22,2019,Hynudai,https://superbowl-ads.com/2019-hyundai-shopper-assurance-the-elevator-with-jason-bateman/,https://www.youtube.com/watch?v=6mfJ0EsqLWs,Automotive,yes,no,yes,yes,no,no,no,397,28,0.93,informative,,consumerist
23,2009,Budweiser,https://superbowl-ads.com/2009-budweiser-clydesdales-generations/,https://www.youtube.com/watch?v=ukpnHh4eEeQ,Beer,no,yes,yes,no,no,yes,no,544,16,0.97,together,,consumerist
24,2011,Kia,https://superbowl-ads.com/2011-kia-optima-one-epic-ride-super-bowl-xlv-commercial/,https://www.youtube.com/watch?v=8FMU5yPZgwM,Automotive,yes,yes,no,no,yes,no,yes,212,8,0.96,,,consumerist
25,2019,Doritos,https://superbowl-ads.com/2019-doritos-now-its-hot-with-chance-the-rapper-and-backstreet-boys/,https://www.youtube.com/watch?v=NvIcPAxZ39o,Chips,no,yes,no,yes,no,no,no,1300,28,0.98,together,,consumerist
26,2019,Pepsi,https://superbowl-ads.com/2019-pepsi-more-than-ok/,https://www.youtube.com/watch?v=64UH1_D95gQ,Soft Drink,yes,yes,no,yes,no,no,yes,1300,76,0.94,,,consumerist
27,2013,Hynudai,https://superbowl-ads.com/video-2013-hyundai-sonata-turbo-super-bowl-xlvii-stuck/,https://www.youtube.com/watch?v=WTf0XGpINJI,Automotive,yes,yes,no,no,yes,yes,no,22,0,1,informative,,consumerist
28,2019,NFL,https://superbowl-ads.com/2019-nfl-nfl100/,https://www.youtube.com/watch?v=sl8ooTIMk2w,Football,yes,yes,no,yes,no,no,no,761,17,0.98,together,,consumerist
